lat,lon,blue,green,red,nir,swir1,swir2,ndvi,evi,savi,ndmi,nbr,elevation,slope,n_images,agbd_tonnes_per_ha
-15.632384417383696,14.850219559488536,511.0,728.0,882.0,2204.0,2673.0,1837.0,0.4011442959308624,0.7833655705996132,0.6016208485618941,-0.11716403067111969,0.07532605528831482,1177,1.3368552923202515,49,39.13419
-15.630332544043547,14.851835192093436,773.0,1094.0,1388.0,2504.0,3216.0,2394.0,0.26826608180999756,0.5161357054199421,0.40234428240425235,-0.14753003418445587,-0.0062333038076758385,1174,1.8543341159820557,49,1.8878646
-15.629922183716332,14.85215825522674,717.0,995.0,1226.0,2342.0,3133.0,2261.0,0.29661503434181213,0.5770699247300098,0.4448587408575936,-0.15399311482906342,-0.0004161464748904109,1176,0.0,49,20.558065
-15.62663853811596,14.854742706590208,696.0,964.0,1208.0,2276.0,3208.0,2326.0,0.292784720659256,0.5373831775700935,0.4391116410791474,-0.1644928902387619,-0.021071115508675575,1178,1.925453543663025,49,1.6972269
-15.622120080890587,14.858297660725867,594.0,867.0,1122.0,2230.0,2997.0,2116.0,0.3250148594379425,0.624620982413584,0.4874498737561265,-0.15027354657649994,0.022170361131429672,1173,2.9418396949768066,49,1.3916254
-15.619242757726996,14.860561019283445,552.0,818.0,1036.0,2072.0,2869.0,2041.0,0.3103681206703186,0.5828259766615931,0.4654735775789296,-0.18021202087402344,-0.011332973837852478,1173,0.0,49,1.564893
-15.616775905148922,14.86250155073494,620.0,913.0,1148.0,2200.0,2959.0,2086.0,0.2888616919517517,0.5941994812544211,0.4332262505736576,-0.1603383868932724,0.014180929400026798,1176,2.7802884578704834,49,1.4534664
-15.61636471507351,14.862825023589863,642.0,895.0,1122.0,2322.0,3004.0,2164.0,0.3236862123012543,0.6423128099673401,0.48548310328415045,-0.13295012712478638,0.02335367165505886,1176,3.4292635917663574,49,1.564893
-15.614309006521337,14.86444239889988,639.0,890.0,1152.0,2270.0,3113.0,2228.0,0.3213213086128235,0.5692826820507239,0.48190962317970276,-0.15776796638965607,0.01263537909835577,1173,1.9253361225128174,49,1.6972269
-15.613075529028247,14.865412942221884,508.0,766.0,962.0,2036.0,2902.0,1963.0,0.3423301875591278,0.6291793313069909,0.5134375351399978,-0.18019375205039978,0.00920245423913002,1172,0.9274099469184875,49,1.564893
-15.612664381167347,14.865736462378774,568.0,792.0,1050.0,2194.0,2840.0,1958.0,0.36071547865867615,0.6572967513886552,0.5409836065573771,-0.14580383896827698,0.03305990621447563,1172,0.9629320502281189,49,1.9596764
-15.610197271710993,14.867677770457128,590.0,824.0,1074.0,2420.0,2955.0,1968.0,0.3719298243522644,0.6314567614625654,0.5578131852068411,-0.10299261659383774,0.1082802563905716,1169,0.0,49,1.8878646
-15.60937477348521,14.868324993057705,518.0,703.0,960.0,2060.0,2804.0,1862.0,0.376283198595047,0.6912241336325107,0.5643248982480976,-0.1598881036043167,0.049109552055597305,1171,0.9629177451133728,49,2.0144055
-15.608552239689164,14.868972245436982,516.0,783.0,1032.0,2278.0,2829.0,1906.0,0.3787061870098114,0.6877421627333569,0.5679636179888833,-0.13543207943439484,0.062439024448394775,1167,0.0,49,1.8878646
-15.608140989569383,14.869295860696154,620.0,882.0,1168.0,2328.0,3069.0,2151.0,0.32129964232444763,0.6048615036743923,0.4818769739810498,-0.1526842564344406,0.040070194751024246,1169,2.1367015838623047,49,1.630395
-15.606494838511932,14.870590872362746,690.0,944.0,1272.0,2444.0,3049.0,2177.0,0.29215359687805176,0.5888951205832866,0.43816942551119764,-0.13695374131202698,0.040520261973142624,1164,1.3367679119110107,49,6.2919526
